id,price
1068,476745.6400389082
1069,790000.0
1073,214816.39333333337
1082,397234.8533982804
1091,257630.77603216376
1363,105415.30238095239
1535,205966.0455122655
11023,323715.1796808307
13114,680000.1274827006
13121,980380.0001000001
13122,476745.6400389082
13123,981268.0
13129,550011.9636363636
13135,475101.8013591495
13136,600000.0
13859,225410.53333333335
14120,387231.07458247064
17962,379165.10527105443
18023,165556.42733487734
18026,252598.79000000007
18031,136109.82179971988
18033,318251.88182144647
18055,149169.7635296499
18056,206154.334
18641,178776.22153333333
18952,790112.4878974765
24270,574067.9133333332
24300,231077.87288658015
24962,216352.32133513087
29513,790112.4878974765
30487,474261.5757117041
30496,650000.124524038
30986,317124.5466666667
32487,393152.5833333334
32497,610559.3033385765
34223,680000.1274827006
34228,981268.0
34229,476745.6400389082
34241,600000.0
34447,200032.209968006
34556,123139.416
34560,318477.034
35408,680000.1274827006
36283,476745.6400389082
36297,550011.9636363636
36313,475101.8013591495
36503,600000.0
36593,980380.0001000001
36594,981268.0
43990,125274.91406666666
44484,210068.56666666668
44522,198975.6
44541,182065.098
44795,244882.73523809528
44810,243364.44127787452
44921,332969.66375094204
44941,353856.348
48130,299464.97533333336
48906,790112.4878974765
61506,474261.5757117041
61520,475101.8013591495
61635,521507.8313207927
63611,824274.2309747903
63615,1718479.3311869116
63616,222244.95247748916
63654,379684.6285714286
64454,336309.50514285715
64458,152385.72841246455
64687,476745.6400389082
64693,348299.16466666665
64694,209544.14285714287
64707,452278.202
64711,121641.0
64714,173720.36325851295
64864,110227.37722013135
76712,149708.06466666664
107512,351549.20243877056
107617,460000.06730401475
107648,519418.33311111113
121692,160190.57522655578
121693,155764.03333333333
123342,351549.20243877056
123378,460000.06730401475
123380,519418.33311111113
126492,680000.1274827006
126525,980380.0001000001
126530,981268.0
126531,476745.6400389082
126602,550011.9636363636
126708,475101.8013591495
127160,126388.6758896104
127755,370660.4271342383
133612,1485156.560317655
144042,257997.90333333332
144080,103125.93040370155
144429,272467.66057664546
170404,239357.96533333338
172269,274877.7508174738
173866,133470.81380891718
173868,80056.3245
174902,114902.3473968254
177586,102829.88333333335
179914,213506.2633333333
179924,461384.6762481962
179963,650000.124524038
179977,253649.93533333333
181779,1635855.4184334334
187943,165485.1029803922
189578,538095.6309039703
189587,580000.0567233948
189588,1200000.1053148871
189589,580000.1824900474
191430,109419.27014718615
191965,88772.63396531284
191966,80279.6285540574
191967,86148.86426834315
192661,476745.6400389082
195919,161000.26333333334
196103,193834.98413709793
196105,193834.98413709793
196106,193834.98413709793
199867,199836.02765787693
199881,152314.16683021095
201115,388119.6150106156
201277,303678.8238596491
201303,512132.0
201766,115654.86666666665
202123,141634.16433333332
202124,131821.10833333334
202125,111415.4
202129,142951.0686666667
202354,277326.9428571429
202355,256075.48168557626
202358,231801.2
213982,337651.6714285714
215836,460000.06730401475
215846,519418.33311111113
215857,351549.20243877056
226279,364690.53427540156
226280,910520.222
226291,771158.6138125669
226292,520097.7098914155
226309,435012.67373374617
226325,515075.9581196581
227218,128781.71066666665
227616,182117.2
